id,noun,translation,language
1,school,សាលារៀន,km
2,pencil,ខ្មៅដៃ,km
3,bookshelf,ធ្នើរសៀវភៅ,km
4,earrings,ក្រវិល,km
5,computer,កុំព្យូទ័រ,km
6,shirt,អាវ,km
7,water bottle,ដបទឹក,km
8,chair,កៅអី,km
9,phone,ទូរស័ព្ទ,km
10,desk,តុ,km
11,lamp,ចង្កៀង,km
12,socks,ស្រោមជើង,km
13,towel,កន្សែង,km
14,erasers,ជ័រលុប,km
15,markers,ហ្វឺត,km
16,toys,ប្រដាប់ក្មេងលេង,km
17,cereal,ធញ្ញជាតិ,km
18,milk,ទឹកដោះគោ,km
19,bread,នំប៉័ង,km
20,butter,ប៊ឺ,km
21,jam,យៈសាពូនមី,km
22,eggs,ស៊ុត,km
23,toilet paper,ក្រដាសបង្គន់,km
24,soap,សាប៊ូ,km
25,shampoo,សាប៊ូកក់សក់,km
26,conditioner,ក្រែមបន្ទន់,km
27,razor,កាំបិត​កោរ,km
28,deodorant,ថ្នាំបំបាត់ក្លិន,km
29,toothbrush,ច្រាសដុសធ្មេញ,km
30,toothpaste,ថ្នាំដុសធ្មេញ,km
31,soapbox,ប្រអប់សាប៊ូ,km
32,pillows,ខ្នើយ,km
33,blankets,ភួយ,km
34,mattress,ពូក,km
35,alarm clock,នាឡិការោទិ៍,km
36,radio,វិទ្យុ,km
37,tv,ទូរទស្សន៍,km
38,headphones,កាសស្តាប់ត្រចៀក,km
39,guitar,ហ្គីតា,km
40,drums,ស្គរ,km
41,vase,ថូ,km
42,picture frame,ស៊ុមរូបភាព,km
43,calendar,ប្រតិទិន,km
44,pen,ប៊ិច,km
45,notepad,សៀវភៅកត់ត្រា,km
46,stapler,ប្រដាប់គិប,km
47,scissors,កន្ត្រៃ,km
48,tape,កាសែត,km
49,ruler,បន្ទាត់,km
50,glue,កាវ,km
52,eraser,ជ័រលុប,km
53,notebook,សៀវភៅកត់ត្រា,km
54,binder,ក្រដាសចង,km
55,papers,ឯកសារ,km
56,folder,ថតឯកសារ,km
57,file cabinet,ទូឯកសារ,km
58,table,តុ,km
60,laptop,កុំព្យូទ័រយួរដៃ,km
61,printer,ម៉ាស៊ីនបោះពុម្ព,km
62,scanner,ម៉ាស៊ីនស្កេន,km
63,mouse,កណ្ដុរ,km
64,keyboard,ក្តារចុច,km
65,monitor,ម៉ូនីទ័រ,km
66,speaker,អ្នកនិយាយ,km
68,phone charger,ឆ្នាំងសាកទូរស័ព្ទ,km
69,power cord,ខ្សែភ្លើង,km
70,socket,រន្ធដោត,km
71,outlet,ច្រកចេញ,km
72,extension cord,ខ្សែបន្ថែម,km
73,wires,ខ្សែ,km
74,cable,ខ្សែ,km
75,tapestry,ក្រណាត់​ប៉ាក់,km
76,curtains,វាំងនន,km
77,blinds,វាំងនន,km
78,shower curtain,វាំងននងូតទឹក,km
79,towel rack,ធ្នើរកន្សែង,km
80,soap dispenser,ម៉ាស៊ីន​ចែកចាយ​សាប៊ូ,km
81,trash can,ធុងសំរាម,km
82,recycling bin,ធុងសំរាមកែច្នៃឡើងវិញ,km
83,basketball,បាល់បោះ,km
84,football,បាល់ទាត់,km
85,baseball,បេស្បល,km
86,softball,បាល់ទន់,km
87,volleyball,បាល់ទះ,km
88,soccer ball,បាល់​ទាត់,km
89,hoop,រង្វង់,km
90,ring,ចិញ្ចៀន,km
91,puck,បាល់​,km
92,glove,ស្រោមដៃ,km
93,hat,មួក,km
94,scarf,ក្រមា,km
95,mitten,ស្រោមដៃ,km
96,umbrella,ឆ័ត្រ,km
97,raincoat,អាវភ្លៀង,km
98,jacket,អាវធំ,km
99,shoes,ស្បែកជើង,km
100,sock drawer,ថតស្រោមជើង,km
101,closet organizer,អ្នករៀបចំទូខោអាវ,km
102,hamper,ឧបសគ្គ,km
103,laundry basket,កន្ត្រកបោកគក់,km
104,dryer,ម៉ាស៊ីនសម្ងួត,km
105,washing machine,ម៉ាស៊ីនបោកគក់,km
106,dishwasher,ម៉ាស៊ីនលាងចាន,km
107,toaster,ម៉ាស៊ីនអាំងនំប៉័ង,km
108,refrigerator,ទូរទឹកកក,km
109,microwave,មីក្រូវ៉េវ,km
110,oven,ឡ,km
111,stove,ចង្ក្រាន,km
112,sink,លិច,km
113,faucet,ក្បាលម៉ាស៊ីនទឹក,km
114,toilet,បង្គន់,km
115,showerhead,ក្បាលផ្កាឈូក,km
116,bathtub,អាងងូតទឹក,km
117,mirror,កញ្ចក់,km
118,window,បង្អួច,km
119,door,ទ្វារ,km
120,apple,ផ្លែប៉ោម,km
124,sofa,សាឡុង,km
128,water,ទឹក,km
129,bottle,ដប,km
131,keys,សោរ,km
138,paperclip,ក្លីបក្រដាស,km
139,furniture,គ្រឿងសង្ហារិម,km
140,calculator,ម៉ាស៊ីនគិតលេខ,km
145,couch,សាឡុង,km
147,coffee,កាហ្វេ,km
148,cup,កែវ,km
149,mug,ពែង,km
150,plate,ចាន,km
151,fork,សម,km
152,spoon,ស្លាបព្រា,km
153,knife,កាំបិត,km
157,fridge,ទូរទឹកកក,km
159,television,ទូរទស្សន៍,km
160,remote,ពីចម្ងាយ,km
161,controller,ឧបករណ៍បញ្ជា,km
163,strings,ខ្សែអក្សរ,km
164,piano,ព្យាណូ,km
165,keyboards,ក្តារចុច,km
168,earbuds,កាសស្តាប់ត្រចៀក,km
169,watch,មើល,km
170,clock,នាឡិកា,km
173,candle,ទៀន,km
174,picture,រូបភាព,km
175,frame,ស៊ុម,km
176,rug,កំរាលព្រំ,km
177,mat,កម្រាល,km
178,pillow,ខ្នើយ,km
179,blanket,ភួយ,km
180,sheets,សន្លឹក,km
182,cloth,ក្រណាត់,km
187,brush,ជក់,km
188,combs,សិតសក់,km
189,hairdryer,ម៉ាស៊ីនសម្ងួតសក់,km
191,shaving,ការកោរសក់,km
192,cream,ក្រែម,km
193,lipstick,ក្រែមលាបមាត់,km
194,makeup,ការតុបតែងមុខ,km
196,compact,បង្រួម,km
197,powder,ម្សៅ,km
198,brushes,ជក់,km
199,nailpolish,ថ្នាំលាបក្រចក,km
201,book,សៀវភៅ,km
202,car,រថយន្ត,km
207,egg,ស៊ុត,km
208,flower,ផ្កា,km
213,paper,ក្រដាស,km
219,bed,គ្រែ,km
220,dresser,ទូខោអាវ,km
221,shelf,ធ្នើរ,km
236,eggplant,ត្រប់,km
237,zucchini,ត្រសក់,km
238,carrot,ការ៉ុត,km
239,pepper,ម្ទេស,km
240,tomato,ប៉េងប៉ោះ,km
241,potato,ដំឡូង,km
242,onion,ខ្ទឹមបារាំង,km
243,garlic,ខ្ទឹមស,km
244,lettuce,សាឡាត់,km
245,spinach,ស្ពៃខ្មៅ,km
246,kale,ស្ពៃក្តោប,km
247,cherry,ផ្លែឆឺរី,km
248,strawberry,ផ្លែស្ត្របឺរី,km
249,banana,ចេក,km
250,orange,ពណ៌ទឹកក្រូច,km
251,grapefruit,ក្រូចថ្លុង,km
252,pear,ផ្លែពែរ,km
253,peas,សណ្តែក,km
254,corn,ពោត,km
255,bean,សណ្តែក,km
256,rice,អង្ករ,km
257,pasta,ប៉ាស្តា,km
258,salad,សាឡាដ,km
260,bowl,ចាន,km
262,glass,កញ្ចក់,km
263,jar,ពាង,km
264,box,ប្រអប់,km
265,bag,កាបូប,km
266,envelope,ស្រោមសំបុត្រ,km
267,package,កញ្ចប់,km
268,north,ខាងជើង,km
269,northwest,ភាគពាយ័ព្យ,km
270,west,ខាងលិច,km
271,southwest,ភាគនិរតី,km
272,south,ខាងត្បូង,km
273,southeast,ភាគអាគ្នេយ៍,km
274,east,ខាងកើត,km
275,northeast,ភាគឦសាន,km
